地点,薪资,职位,岗位需求
上海,13K-25K,JAVA高级开发工程师,【岗位职责】1、根据产品需求，注意把握产品技术架构，对新技术保持敏感性，有能力开发系统核心代码，并负责产品在技术上予以实现，使公司产品符合要求；2、参与业务需求的沟通、调整和项目评估，协助团队制定最优的开发方案实现产品的开发；识别、评测和解决产品中技术风险，确保所负责的开发任务能够在规定的时间内，按照规定的质量，完成产品开发任务；3、运用java语言进行产品代码的开发工作，以确保团队工作任务的完成；4、及时完成领导安排的其他工作。【任职资格】1、 全日制本科及以上， 计算机、软件工程等相关专业；2、6年及以上Java或其他语言经验；3、具有丰富的产品开发知识，计算机编程知识，扎实的Java开发经验，并且拥有其他一至二种编程语言经验，精通产品开发的全过程，理解公司业务对产品的要求；4、熟悉软件工程，UML建模，具备原型设计、数据库设计、大型软件架构分析、设计和评估能力，有有成熟项目管理经验；5、有良好的沟通和表达能力，团队管理能力佳，工作责任心强，细致，耐心。
长沙,3K-6K,JAVA软件工程师,岗位职责：1、参与项目的需求分析，负责项目的架构设计、模块设计和开发。2、负责指导软件工程师详细设计和开发。3、负责解决项目中的技术难点（后端核心代码）和技术把关。4、负责系统性能优化，解决平台升级和优化过程中出现的问题。任职要求：1、计算机本科以上学历2、2年及以上JAVA开发的经验，至少1个以上微信产品开发经验；精通Spring、SpringMVC、Mybatis和移动开发框架，有自己架构设计框架作品者优先3、熟悉持续集成和部署，并有过敏捷开发经验者优先考虑4、学习能力强，适应能力好；有良好的编码习惯，具备耐心、细心的品质（可接受优秀实习生）
郑州-金水区,4K-6K,java开发工程师程序员可实习,职位描述岗位条件：1.对计算机行业感兴趣，专业不限，热爱互联网工作；（非销售、非保险岗位）2.有无基础都可以，想获得一份有长远发展、稳定、有晋升空间的工作；3.学习能力强，工作热情高，富有责任感，工作认真、细致、敬业，责任心强；4.本岗位欢迎优秀应往届毕业生前来应聘。应聘要求：1.大专及以上学历均可，计算机专业优先；2.18-35岁，男女不限，超龄者勿扰；3.能够尽快入职、长期稳定工作；待遇：1、底薪3K起，五险一金，法定节假日休息，定期旅游；2、每年一次体检，每月组织员工聚餐，员工生日聚会3、五天制，早上九点到下午六点，周六日双休
上海,6K-8K,Java游戏开发工程师,岗位职责:     1.负责游戏功能系统的服务端开发工作;2.协助系统架构师对服务器程序进行架构分析和软件设计，并完成相应的文档;3.开发服务端各项周边工具;4.负责自己所编写模块的单元测试工作;任职要求:    1.计算机及相关专业本科以上学历，有较扎实的JAVA基础知识；2.熟悉JAVA多线程、并发、线程安全；3.熟悉TCP/IP协议，有基于java nio框架开发经验；4.熟悉Linux/unix常用命令，有基于Tomcat/Weblogic/Nginx等网络服务部署；5.熟悉MySQL数据库，能编写数据分析及查询类SQL语句；6.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
郑州-管城区,4K-6K,招JAVA开发工程师 实习生,"岗位职责：1、可接受应届毕业生，这次是公司内部急聘，没有项目经验也没有关系。但是必须有责任心。年龄18—30周岁，超龄勿投。2、爱好互联网，有团队合作精神3、有责任心，性格活泼开朗，工作踏实4、因为这次针对的是应届生，对经验要求不高，综合能力比较强的话，也可以入职。入职后前期有老人带。5、为人正直，有责任感。任职资格：1、面试通过后，实习期基本工资3000元—4000元+项目提成,转正工资5000元—6000元+项目提成。办公环境优美，福利待遇齐全，职位发展空间大。2、五险一金，年底双薪，双休，加班有加班补助。3、有竞争力薪酬：每年都有年度调薪，优秀的你有获得额外调薪机会4、假期：除法定节假日外，您可享受带薪病假，还有7-12天带薪年假5、补贴：加班补贴、年底双薪、生日礼金、、。6、绩效奖金：为了更好的体现您的能力，我们有合理有效的绩效考核标准，也为您准备了丰厚的绩效奖金。7、其它关怀：公司旅游、半月一次公司聚餐。工作时间：周一至周五上午9:00-18:00，双休，中午休息一个半小时"
温州-鹿城区,10K-15K,java研发工程师,"岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、熟悉SSH、SSM、JFinal等开发框架；4、熟练使用mysql，sql server等常用数据库；5、了解html、javascript、css和ajax技术，并熟练使用jquery；6、熟悉B/S开发构架，有java web项目开发经验；7、熟悉掌握Tomcat、Jetty；任职要求：1、计算机或相关专业大专学历以上；2、具有一定java基础；3、有一定web mvc编程基础；4、熟练使用mysql；5、吃苦耐劳，有较强的团队协作能力；"
深圳,15K-25K,Java开发工程师,"岗位职责:*岗位职责：-根据业务需求，进行技术编码，调试，单元测试，能够解决核心技术问题；-参与技术需求的调研，技术可行性分析，系统架构的设计、优化；-按照需求进行设计开发，解决开发中所遇到的技术难题；-完成模块详细设计与开发；*岗位要求:-2年以上Java开发经验，熟悉主流的J2EE框架及编码规范，有分布式软件项目实施经验；-熟悉SpringBoot,SpringCloud、Docker、Dubbo/Dubbox、zookeeper优先。-熟练运用开源软件包，如Spring、Struts、Hibernate、MyBatis、NoSQL等，从事高并发Web应用架构设计和开发者优先；-熟悉MYSQL、PostgreSQL等数据库一种以上，熟练掌握SQL、有MYSQL分库分表经验优先。熟悉MYCAT优先；-熟悉Linux，熟悉Tomcat、Weblogic等至少一种应用服务器系统的开发；-熟练使用Git、SVN等版本控制软件，熟悉持续集成；-熟悉I/O、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；-良好的团队协作、问题解决能力，能承受工作压力；-熟悉规则引擎、熟悉工作流引擎，熟悉Activiti者优先；-有互联网公司大型项目工作的经验优先。"
北京,10K-15K,Java开发工程师,"岗位职责:*岗位职责：-根据业务需求，进行技术编码，调试，单元测试，能够解决核心技术问题；-参与技术需求的调研，技术可行性分析，系统架构的设计、优化；-按照需求进行设计开发，解决开发中所遇到的技术难题；-完成模块详细设计与开发；*岗位要求:-2年以上Java开发经验，熟悉主流的J2EE框架及编码规范，有分布式软件项目实施经验；-熟悉SpringBoot,SpringCloud、Docker、Dubbo/Dubbox、zookeeper优先。-熟练运用开源软件包，如Spring、Struts、Hibernate、MyBatis、NoSQL等，从事高并发Web应用架构设计和开发者优先；-熟悉MYSQL、PostgreSQL等数据库一种以上，熟练掌握SQL、有MYSQL分库分表经验优先。熟悉MYCAT优先；-熟悉Linux，熟悉Tomcat、Weblogic等至少一种应用服务器系统的开发；-熟练使用Git、SVN等版本控制软件，熟悉持续集成；-熟悉I/O、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；-良好的团队协作、问题解决能力，能承受工作压力；-熟悉规则引擎、熟悉工作流引擎，熟悉Activiti者优先；-有互联网公司大型项目工作的经验优先。"
上海,10K-20K,JAVA工程师,岗位职责：1、参与项目系统分析，设计及开发工作，以及对现有产品进行优化；2、负责模块级开发，能独立处理和解决所负责的任务；3、按照要求完成技术开发文档等编写工作；任职要求：1、计算机及其相关专业，专科及其以上学历；2年以上java开发经验。2、对软件系统架构尤其是B/S架构有深入的理解和丰富的应用实践；3、有不少于1年的软件设计、开发实践经验，且至少全过程参加过一次大型应用软件/软件项目，并在其中担当重要角色；4、熟悉Java开发，掌握HTML、CSS、Javascript的使用和应用开发，熟悉SpringMVC、Spring、MyBatis、Hibernate、Struts2等开源框架；5、熟练掌握数据库编程，熟悉Mysql、Oracle等；6、熟悉redis、mongodb等nosql数据库经验者优先；7、熟悉移动端开发、大数据处理经验者优先。
中山,10K-15K,java开发工程师,"岗位职责：1. 服务于中等及大规模软件系统的开发，负责其架构设计与实现；2. 理解业务方需求，抽象业务模型，结合技术架构产出方案；3. 负责架构方案落地，项目的推进和跟踪，协调各方资源完成目标；4. 参与公司和部门级别的技术架构设计、评审与code review，负责公司级别基础平台的核心代码编写；5. 有从技术层面带动部门和公司整体技术实力提升的心态。岗位要求：1. 计算机相关专业本科或以上学历，5年以上大规模分布式系统或者大规模应用系统架构分析、设计、开发经验。有大数据量、高并发处理经验；2. 扎实的编程基础，精通java开发语言，熟悉jvm，web开发，分布式架构，缓存，消息中间件,SOA, OSGI、设计模式等核心技术。 对各种开源的框架如Spring、mybatis等有深入的了解；3. 具有一定的项目规划和决策能力，善于捕捉业务需求、架构设计中存在的问题，并给出有效的解决措施和方法 。具备良好的业务建模能力，能够结合业务场景抽象业务模型。并具备良好的识别和设计通用框架及模块的能力；4. 具有高度的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，有良好的沟通能力，能协调多方资源完成共同目标。激情、愿意分享，自我驱动能力强，良好的结果导向和抗压能力；5. 精通mysql或者oracle数据库；6. 有电子商务、大型互联网公司、垂直B2C企业电商、大型零售企业、大型物流公司研发经验者优先。7. 把握团队技术及业务方向，有主导过6-25人规模研发团队的人员优先考虑。"
沈阳,3K-4.5K,高薪双休/五险稳定急招JAVA软件工程师,"岗位要求：1、18-30岁，中专及以上学历，有无相关经验均可，条件优秀可放宽学历接收转行；2、做事认真、能够专心学习技术,热爱软件开发行业，愿意从基层做起，善于学习和总结分析；3、具有明确的人生目标，敢于挑战高薪；有良好的工作态度和团队合作精神；福利待遇：1.办公环境优美，福利待遇齐全，职位发展空间大。2.年底双薪，双休，一般无加班，若有加班，有加班补助。3.有竞争力薪酬：每年都有年度调薪，优秀的你有获得额外调薪机会。4.假期：除法定节假日外，您可享受带薪病假，还有7-12天带薪年假。5.补贴：加班补贴、年底双薪、生日礼金、交通补贴。6.绩效奖金：为了更好的体现您的能力，我们有合理有效的绩效考核标准，也为您准备了丰厚的绩效奖金。"
哈尔滨,5.9K-11.8K,JAVA+AI软件工程师实习生,"人才基地承担着中关村软件园园区内500多家知名IT企业的人才培养、招聘的任务，本次招聘的岗位全部采用企业定制，所招实习生实习结束，统一安排在园区工作，千载难逢，机会难得......【招收岗位】：1、Java+大数据软件开发工程师签约实习生2、 人工智能+Python开发工程师签约实习生【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；【福利待遇】：1、签订正式《劳动合同》、五险一金等。2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。【职业背景】1、Java+大数据——Java已经连续21年位居热门编程语言之首。在薪酬待遇方面，远高于其他程序员。Java+大数据开发工程师，待遇更高，入职轻松起薪12k.2、人工智能+ Python——人工智已经走进我们的生活，来得有些突然，以至于目前国内大学还没有开设人工智能专业，一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；Python非常适合AI开发，它更接近自然语言，编程简单,速度超快，它能够把各种模块很轻松地联结在一起,开发人员不必重复造轮子，像搭积木一样就可以完成绝大部分工作， 非常适合初学编程者。　　　未来将是人工智能的天下，越来越多的工作都将被人工智能替代！如果你够睿智，就算是壮士断腕，也要毅然决然地走进“人工智能”，四年后，当第一期AI大学生进入这一领域时，你已经年薪百万，已经是他们的总监、是他们的CEO了。人工智能时代刚刚拉开帷幕，现在加入，你就是下一个技术时代的王者。详询电话（微信）：18910253892北京中关村软件园欢迎您！"
沈阳,2K-4K,Java开发工程师(双休+五险）,"岗位描述：1、在上级的领导和监督下定期完成量化的工作要求； 2、能独立处理和解决所负责的任务，负责公司新产品的研发和设计；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；岗位要求：1、18-30岁，中专及以上学历。2、对软件开发行业感兴趣，愿意长期在此方向发展。3、有较好的学习能力、沟通表达能力和创造性思维。4、爱岗敬业，有良好的工作态度和团队合作精神。 福利待遇：1.办公环境优美，福利待遇齐全，职位发展空间大。2.年底双薪，双休，一般无加班，若有加班，有加班补助。3.有竞争力薪酬：每年都有年度调薪，优秀的你有获得额外调薪机会。4.假期：除法定节假日外，您可享受带薪病假，还有7-12天带薪年假。5.补贴：加班补贴、年底双薪、生日礼金、交通补贴。                        "
重庆,6K-12K,java开发工程师,"岗位职责：1、根据业务需求进行沟通、设计、开发功能，确保性能、质量；2、负责所属模块的代码开发、调试与维护工作；3、负责按照公司的软件开发规范编写相应的项目技术文档；4、在工作中能积极配合同事开发任务；5、配合团队完成相关任务目标；任职要求：1、本科以上学历，能力优秀者可专科以上学历，1年以上Java Web开发经验，具有独立项目开发能力；2、熟悉J2EE相关技术和框架（Spring mvc/Spring/Spring boot/Spring cloud,Mybatis/Hibernate等）；熟练使用IDEA/MAVEN/SVN等开发相关工具以及技术3、熟练Oracle数据库或MYSQL开发技术及相关工具；4、熟悉Javascript，JQuery, Bootstrap、easyUI等前端开发技术，有NODEJS相关经验优先考虑 ---此项为参考项；5、熟悉Mongodb/Redis等开源中间件；6、工作态度严谨踏实，有较强的责任心，对软件开发有强烈的兴趣7、有良好的团队合作精神，数学专业或了解加密技术者可优先考虑。"
成都-高新区,8K-10K,中级Java工程师,岗位职责：1、指导初级研发开发。2、根据上级要求完成子系统开发。任职要求：1、3年以上JAVA开发经验，扎实的语言功底，有LIMS、OA、EPR、HIS等业务管理软件研发经验者优先；2、熟练使用JAVA语言进行编程，熟悉开源架构，如spring，mybatis等；3、熟悉HTML5、JavaScript，ajax开发等相关WEB技术；熟悉spring事务管理机制；4、熟悉gradle、maven、junit等开源工具；5、良好的沟通表达能力、学习及领悟能力，较强的责任心与团队精神。
哈尔滨,4K-8K,Java开发工程师,"岗位职责：1、 JAVA管理系统的应用开发工作；2、 JAVA相关的微信公众号开发工作；3、 已经实施项目的日常维护和管理。任职要求：1、计算机相关专业，3年及以上Java工作经验；新手要1年以上工作经验；2、熟练运用Java+html5语言，熟悉软件开发流程,熟悉主流开源应用框架，如Spring、MyBatis、XML、JSON、Maven等开发技术；3、熟练运用jQuery，javascript，Ajax、CSS+DIV等技术；4、熟练掌握MySQL数据库开发和管理，有实际项目使用经验；5、掌握 Linux 操作系统常用操作；6、具备较强的的团队合作能力，有互联网或电商公司工作经验者优先；7、小程序开发，app开发，安卓开发经验者优先。"
苏州,6K-8K,Java软件工程师,岗位描述：1. 在项目经理的带领下参与Java项目的开发；2. 负责开发和测试基于开源框架的Java程序。职位要求：1、熟悉Struts、iBatis、Spring、SpingMVC、Spring Boot等框架，能熟练使用Tomcat或者JBoss应用服务器进行开发和部署；2、能熟练使用JSP，JS，Jquery，HTML等页面技术；3、具有基于上述框架的项目开发经验；4、熟练操作Oracle/Mysql/SQL Server中至少一种数据库，有数据库开发经验；5、有良好的团队合作精神，具有强烈责任心，能吃苦耐劳；6、有HTML5开发经验者优先；
北京,10K-20K,java开发工程师,岗位职责：1.负责公司数据库应用系统的开发工作；2.负责公司数据库Java类工具软件的开发工作。任职要求：1、计算机相关专业毕业，3年以上JAVA WEB开发经验；2、精通J2EE开发架构，熟悉Struts，Hibernate，Spring，或者 MyBatis等J2EE开发框架；3、熟练运用Eclipse、PL/SQL Developer、MAVEN等开发工具；4、熟练掌握Java、Jsp、Servlet、WebService、XML、JSON、JavaScript、jQuery、EasyUI、Echarts等相关技术；5、熟悉Oracle、Mysql、SQLServer、Postgresql任意一种数据库开发应用；6、熟悉Tomcat、Weblogic等应用服务器；7、熟悉面向对象开发方法和设计模式；8、具有大型项目开发经验者优先考虑；
天津,5.9K-11.8K,JAVA+AI软件工程师实习生,"人才基地承担着中关村软件园园区内500多家知名IT企业的人才培养、招聘的任务，本次招聘的岗位全部采用企业定制，所招实习生实习结束，统一安排在园区工作，千载难逢，机会难得......【招收岗位】：1、Java+大数据软件开发工程师签约实习生2、 人工智能+Python开发工程师签约实习生【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；【福利待遇】：1、签订正式《劳动合同》、五险一金等。2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。【职业背景】1、Java+大数据——Java已经连续21年位居热门编程语言之首。在薪酬待遇方面，远高于其他程序员。Java+大数据开发工程师，待遇更高，入职轻松起薪12k.2、人工智能+ Python——人工智已经走进我们的生活，来得有些突然，以至于目前国内大学还没有开设人工智能专业，一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；Python非常适合AI开发，它更接近自然语言，编程简单,速度超快，它能够把各种模块很轻松地联结在一起,开发人员不必重复造轮子，像搭积木一样就可以完成绝大部分工作， 非常适合初学编程者。　　　未来将是人工智能的天下，越来越多的工作都将被人工智能替代！如果你够睿智，就算是壮士断腕，也要毅然决然地走进“人工智能”，四年后，当第一期AI大学生进入这一领域时，你已经年薪百万，已经是他们的总监、是他们的CEO了。人工智能时代刚刚拉开帷幕，现在加入，你就是下一个技术时代的王者。详询电话（微信）：18910253892北京中关村软件园欢迎您！"
郑州,8K-10K,高级java开发工程师,"岗位职责：1、负责项目架构设计和系统功能分析及设计，并编写相关文档；2、负责核心模块开发，及系统稳定性开发，性能优化等相关工作；3、指导初、中级工程师完成程序设计和开发工作；4、技术预研，探索并应用项目相关前沿技术。任职要求：1、5年及以上使用JAVA开发的经验，本科或以上学历，计算机相关专业；2、熟悉J2EE，JAVA WEB编程技术,对各种开源的框架如Spring、SpringMVC、MyBatis等有深入的应用和优化经验；3、掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验；4、熟悉MySql或Oracle数据库的应用与开发，熟练掌握各种SQL优化技巧；5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用、解决问题；6、学习能力强，适应能力好；具备耐心/细心的品质，具有良好的团队协作和沟通能力及责任心；7、喜欢尝试最新的技术，从技术趋势和思路上能影响技术团队。8、薪资水平：5-10年（8000-15000）工作地址：郑州市金水区经三路48号或经三路99号"
武汉,7K-10K,中级Java工程师,一、职位描述：1、 分析产品需求，根据规范进行系统设计并对产品进行快速迭代开发；2、负责后台服务系统的开发与对接；3、与团队成员合作、沟通，对开发过程中的问题进行总结，共同完成项目；4、发现并解决系统存在的问题。二、任职资格：1、本科及以上学历，2年以上后端工作经验；2、精通java编程基础：集合框架、多线程并发、IO等，深刻理解面向对象思想，熟悉常用项目构建工具；3、熟练掌握J2EE开发架构和设计模式，有较强的分析设计能力；4、熟练掌握spring，spring-mvc，mybatis，maven等开源框架和工具，熟练使用Tomcat等web容器以及MySQL等数据库；5、熟悉Linux 操作系统，以及shell的使用；6、对前端知识有一定的了解；7、具备良好的代码编写习惯，结构组织能力以及团队合作能力。体验产品网站：https://rays.5rs.me/
北京-朝阳区,10K-15K,高级java软件开发工程师,技术plsql+java+******，具备企业微信开发方向优先。(1)具有3年以上Java开发经验，2年以上系统设计经验；(2)精通JavaEE相关技术、精通Java编程基础，有JVM调优经验；深入理解Hibernate、Spring、iBatis、Junit等框架和技术的设计思想和实现方式，熟悉Linux下的常用命令；(3)熟悉常用应用服务器的使用和优化配置，如Tomcat，Jetty等;熟悉应用服务器集群、Session共享机制；(4)熟悉Oracle数据库，并具有SQL效率优化经验；熟练掌握NoSQL、KV存储相关技术如Redis，Memcached等；(5)了解消息队列的原理和实现，熟练掌握消息队列部分开源产品，如Kafka、RabbitMQ；(6)精通常用设计模式，设计原则；具有系统分析与架构设计实践经验，熟悉高性能、高并发、高可用性、高扩展性系统架构设计；(7)对缓存、事务、高并发、多线程、分布式、虚拟化等方面的技术有一定的开发经验者优先考虑；
东莞,4K-8K,java开发工程师,岗位职责：1、参与产品的研发和客户问题维护工作；2、使用JAVA与数据库语言进行项目开发；3、使用js进行前端页面代码开发。任职要求：1、本岗位适合大专以上学历者，计算机相关专业；2、1年以上java开发经验，有致远0A开发经验优先；3、熟悉B/S结构开发（jsp，taglib，js，ajax，mvc，spring，hibernate）；4、熟悉Oracle、SQL Server、MySQL数据库；5、有自主研发查询统计报表经验者优先；6、具备强烈的责任心和敬业精神，乐观开朗。岗位福利1、为员工购买五险一金；2、提供员工长期发展的培训服务；3、提供有竞争力的薪酬，有丰厚完整的激励制度；4、提供交通、通讯等其它项补贴；5、具体待遇面谈。三、工作时间：1、上午8:30到下午17:30，午休11:30到13:30，单双休制。享受国家法定节假日+带薪年假；四、乘车路线：可查询坐车网http://www.zuoche.com/东莞各汽车站乘车路线：1、东莞总站可乘坐29号（6个站）到坝头桥东公交站下，步行500米即到2、东莞南城汽车站可乘坐12路（16个站）到电机厂公交站下， 步行400米即到3、东莞汽车东站可乘坐872路（15个站）到东莞山庄公交站下， 步行900米即到公司附件的公交站点：建设路、坝头桥东、电机厂、东莞山庄、体育路口
厦门,5K-10K,java工程师,"1、参与项目需求分析和系统设计；2、负责项目的开发、联调、测试及上线工作；3、参与系统稳定性、性能和扩展性调试，不断优化改善系统；4、能独立解决开发中遇到的难点问题。任职要求1、熟悉WEB编程，理解MVC模式，能够熟练使用JSP、Servlet、JavaScript（jQuery等组件）、CSS3、HTML5等；2、熟悉Java/J2EE编程,有SpringMVC+MyBatis或类似框架的实际项目经验;3、有基于Oracle、Mysql、MS SQL等主流数据库的开发经验,掌握SQL语言；4、良好的代码书写规范，逻辑思路清晰，工作认真负责，良好的团队合作精神；优先录用条件：1、有团队开发经验、版本控制工具使用经验；2、熟悉Linux、Nginx、Docker；必须条件：实际JAVA开发经验必须至少满1年；"
上海,10K-18K,java开发工程师,"熟悉Java SSH、SSM、EJB系统架构，拥有1年以上经验；熟练使用Java,Jsp,CSS,JavaScript等开发语言；熟练掌握Myeclipse，SVN等工具；熟练掌握Weblogic、Tomcat、BOSS等应用服务器以及系统集群的配置经验；熟悉Oracle、SQL Server等数据库，精通Oracle的函数和存储过程的设计和开发；熟悉Web系统开发以及Web Service的开发，以及Linux环境下项目开发部署经验；具有良好项目研发和管理经验，思路清晰，有较强的书面表达与语言沟通能力。能力者工资可面谈Familiar with Java SSH, SSM, EJB system architecture, with more than 3 years of experience;Skilled use of Java, Jsp, CSS, JavaScript and other development languages;Proficient in Myeclipse, SVN and other tools;Proficiency in Weblogic, Tomcat, BOSS and other application servers and system configuration experience cluster;Familiar with Oracle, SQL Server and other databases, proficient in Oracle's functions and stored procedure design and development;Familiar with Web system development and Web Service development, as well as Linux environment, project development and deployment experience;Good project development and management experience, clear thinking, strong written and verbal communication skills."
重庆,5.9K-11.8K,JAVA+AI软件工程师实习生,"人才基地承担着中关村软件园园区内500多家知名IT企业的人才培养、招聘的任务，本次招聘的岗位全部采用企业定制，所招实习生实习结束，统一安排在园区工作，千载难逢，机会难得......【招收岗位】：1、Java+大数据软件开发工程师签约实习生2、 人工智能+Python开发工程师签约实习生【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；【福利待遇】：1、签订正式《劳动合同》、五险一金等。2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。【职业背景】1、Java+大数据——Java已经连续21年位居热门编程语言之首。在薪酬待遇方面，远高于其他程序员。Java+大数据开发工程师，待遇更高，入职轻松起薪12k.2、人工智能+ Python——人工智已经走进我们的生活，来得有些突然，以至于目前国内大学还没有开设人工智能专业，一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；Python非常适合AI开发，它更接近自然语言，编程简单,速度超快，它能够把各种模块很轻松地联结在一起,开发人员不必重复造轮子，像搭积木一样就可以完成绝大部分工作， 非常适合初学编程者。　　　未来将是人工智能的天下，越来越多的工作都将被人工智能替代！如果你够睿智，就算是壮士断腕，也要毅然决然地走进“人工智能”，四年后，当第一期AI大学生进入这一领域时，你已经年薪百万，已经是他们的总监、是他们的CEO了。人工智能时代刚刚拉开帷幕，现在加入，你就是下一个技术时代的王者。详询电话（微信）：18910253892北京中关村软件园欢迎您！"
重庆,5.9K-11.8K,JAVA+AI软件工程师实习生,"人才基地承担着中关村软件园园区内500多家知名IT企业的人才培养、招聘的任务，本次招聘的岗位全部采用企业定制，所招实习生实习结束，统一安排在园区工作，千载难逢，机会难得......【招收岗位】：1、Java+大数据软件开发工程师签约实习生2、 人工智能+Python开发工程师签约实习生【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；【福利待遇】：1、签订正式《劳动合同》、五险一金等。2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。【职业背景】1、Java+大数据——Java已经连续21年位居热门编程语言之首。在薪酬待遇方面，远高于其他程序员。Java+大数据开发工程师，待遇更高，入职轻松起薪12k.2、人工智能+ Python——人工智已经走进我们的生活，来得有些突然，以至于目前国内大学还没有开设人工智能专业，一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；Python非常适合AI开发，它更接近自然语言，编程简单,速度超快，它能够把各种模块很轻松地联结在一起,开发人员不必重复造轮子，像搭积木一样就可以完成绝大部分工作， 非常适合初学编程者。　　　未来将是人工智能的天下，越来越多的工作都将被人工智能替代！如果你够睿智，就算是壮士断腕，也要毅然决然地走进“人工智能”，四年后，当第一期AI大学生进入这一领域时，你已经年薪百万，已经是他们的总监、是他们的CEO了。人工智能时代刚刚拉开帷幕，现在加入，你就是下一个技术时代的王者。详询电话（微信）：18910253892北京中关村软件园欢迎您！"
杭州,6K-10K,JAVA软件工程师,岗位要求：1. 计算机科学与技术相关专业，本科以上学历2. 熟悉struts、SpringMVC、spring、hibernate及ssh整合开发，并且对其核心思想、实现原理有一定认知；3. Java基础扎实，良好的代码风格，理解Java常用的设计模式；4. 熟悉面向对象分析和设计，能按照设计要求进行开发工作；5. 熟悉maven项目构建工具；6. 熟练掌握 eclipse 开发工具，熟悉版本控制工具SVN；7. 熟练掌握 Tomcat的应用部署和配置；8. 能熟练使用jQuery框架，并能手写js代码；9. 熟悉oracle，mysql，db2，sqlserver中至少一种数据库10. 工作认真负责，能服从公司安排，能承受压力；11. 对技术有强烈的兴趣，喜欢钻研；12. 良好的沟通技能，团队合作能力；只要你有过硬的技术，公司一定给予丰厚的待遇，期待你的加入！
上海-长宁区,9K-12K,java工程师,1. 扎实的Java编程基础；2. 3年以上使用JAVA开发的经验，熟练运用常用的开源框架；3. 熟练运用Spring/SpringMVC/Ibatis或其他主流JAVA框架；4. 熟悉Oracle、MySQL 数据库，有数据库调优经验；5. 熟悉Linux 操作系统；有较强的编程和分析能力；6. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、搜索\推荐等机制；7. 有大型Web应用项目经验优先；
太原,8K-10K,高级Java工程师,任职资格：1.本科以上学历，计算机软件相关专业，至少2年中大型Java项目开发经验；2.熟练掌握常用的设计模式，熟悉spring、spring mvc等常用开发框架，具有良好的编码能力和编码风格；3.精通数据库技术（mysql/oracle/mongodb)，数据库优化及sql优化，掌握事务、锁、并发等机制，熟练使用mybatis、hibernate等ORM框架；4.精通分布式缓存、消息队列相关技术，例如：rabbitmq、redis、memcached、dubbo、zookeeper等；5.熟练掌握linux平台常用命令、环境部署；6.具备良好的自学能力和独立解决问题的能力，富于团队精神，善于沟通协调，主动推动项目达成目标；7.擅长系统分析与设计、代码重构，有大型项目架构设计经验者优先；8.有高并发、高性能、高可用的分布式系统设计经验者优先；9.有高并发、高性能、高可用的分布式系统设计经验者优先；
